,price_aprox_usd,surface_total_in_m2,rooms,price_usd_per_m2,barrio
1270,295000.0,83.0,3.0,3554.21686746988,PALERMO
1271,160000.0,51.0,2.0,3137.254901960784,PALERMO
1272,165000.0,51.0,2.0,3235.2941176470586,PALERMO
1273,106000.0,37.0,1.0,2864.864864864865,PALERMO
1277,192000.0,68.0,3.0,2823.529411764706,PALERMO
1278,390000.0,100.0,4.0,3900.0,PALERMO
1279,228000.0,71.0,3.0,3211.267605633803,PALERMO
1280,380000.0,56.0,2.0,6785.714285714284,PALERMO
1281,145000.0,60.0,3.0,2416.6666666666665,PALERMO
1282,418000.0,113.0,4.0,3699.115044247787,PALERMO
1283,570000.0,191.0,4.0,2984.293193717277,PALERMO
1284,134900.0,46.0,1.0,2932.608695652174,PALERMO
1288,420000.0,104.0,3.0,4038.4615384615386,PALERMO
1290,280000.0,90.0,2.0,3111.1111111111118,PALERMO
1291,340000.0,120.0,3.0,2833.333333333333,PALERMO
1292,350000.0,96.0,4.0,3645.833333333334,PALERMO
1296,280000.0,90.0,2.0,3111.1111111111118,PALERMO
1297,220000.0,70.0,3.0,3142.857142857143,PALERMO
1298,385000.0,90.0,3.0,4277.777777777777,PALERMO
1299,180000.0,70.0,3.0,2571.428571428572,PALERMO
1301,360000.0,106.0,4.0,3396.22641509434,PALERMO
1302,247000.0,55.0,2.0,4490.909090909091,PALERMO
1303,232000.0,53.0,2.0,4377.358490566037,PALERMO
1305,110000.0,44.0,2.0,2500.0,PALERMO
1307,194000.0,70.0,3.0,2771.428571428572,PALERMO
1309,430000.0,178.0,5.0,2415.730337078652,PALERMO
1310,195000.0,59.0,2.0,3305.084745762712,PALERMO
1311,198000.0,59.0,2.0,3355.93220338983,PALERMO
1312,299000.0,85.0,3.0,3517.6470588235293,PALERMO
1313,149000.0,42.0,1.0,3547.619047619048,PALERMO
1314,420000.0,114.0,4.0,3684.2105263157896,PALERMO
1315,265000.0,86.0,4.0,3081.395348837209,PALERMO
1316,118000.0,41.0,1.0,2878.0487804878053,PALERMO
1317,154000.0,55.0,3.0,2800.0,PALERMO
1322,170000.0,66.0,4.0,2575.757575757576,PALERMO
1323,180000.0,70.0,5.0,2571.428571428572,PALERMO
1324,360000.0,54.0,2.0,6666.666666666668,PALERMO
1325,99000.0,39.0,2.0,2538.4615384615386,PALERMO
1332,249000.0,74.0,4.0,3364.864864864865,PALERMO
1336,385000.0,135.0,3.0,2851.851851851852,PALERMO
1337,198000.0,70.0,3.0,2828.5714285714284,PALERMO
1341,164000.0,52.0,2.0,3153.8461538461543,PALERMO
1342,235000.0,79.0,2.0,2974.6835443037976,PALERMO
1343,95000.0,42.0,2.0,2261.904761904762,PALERMO
1344,270000.0,83.0,2.0,3253.012048192771,PALERMO
1346,230000.0,130.0,3.0,1769.2307692307693,PALERMO
1348,187000.0,46.0,1.0,4065.217391304348,PALERMO
1349,230000.0,61.0,2.0,3770.491803278689,PALERMO
1350,290000.0,57.0,2.0,5087.719298245615,PALERMO
1351,346000.0,112.0,3.0,3089.285714285714,PALERMO
1355,515000.0,123.0,3.0,4186.991869918698,PALERMO
1356,170000.0,52.0,3.0,3269.230769230769,PALERMO
1358,198000.0,68.0,2.0,2911.7647058823527,PALERMO
1361,250000.0,86.0,3.0,2906.9767441860467,PALERMO
1363,295000.0,84.0,3.0,3511.904761904762,PALERMO
1364,237000.0,55.0,2.0,4309.090909090909,PALERMO
1365,319500.0,90.0,4.0,3550.0,PALERMO
1366,450000.0,170.0,4.0,2647.058823529412,PALERMO
1367,165000.0,53.0,2.0,3113.2075471698117,PALERMO
1368,297109.32,117.0,2.0,2539.395897435897,PALERMO
1374,245000.0,51.0,2.0,4803.921568627451,PALERMO
1376,440000.0,73.0,2.0,6027.397260273972,PALERMO
1377,440000.0,73.0,3.0,6027.397260273972,PALERMO
1379,360000.0,128.0,3.0,2812.5,PALERMO
1381,219000.0,84.0,4.0,2607.142857142857,PALERMO
1382,429000.0,78.0,3.0,5500.0,PALERMO
1384,139000.0,45.0,1.0,3088.888888888889,PALERMO
1386,245000.0,71.0,3.0,3450.704225352113,PALERMO
1390,196000.0,85.0,3.0,2305.882352941177,PALERMO
1391,290000.0,102.0,3.0,2843.137254901961,PALERMO
1392,149000.0,41.0,2.0,3634.146341463415,PALERMO
1393,149000.0,41.0,3.0,3634.146341463415,PALERMO
1394,185000.0,66.0,3.0,2803.0303030303025,PALERMO
1395,340000.0,160.0,4.0,2125.0,PALERMO
1396,205000.0,68.0,4.0,3014.705882352941,PALERMO
1397,205000.0,68.0,4.0,3014.705882352941,PALERMO
1400,168000.0,49.0,3.0,3428.5714285714284,PALERMO
1404,165000.0,47.0,2.0,3510.638297872341,PALERMO
1406,275000.0,64.0,3.0,4296.875,PALERMO
1407,350000.0,95.0,3.0,3684.2105263157896,PALERMO
1408,165000.0,53.0,2.0,3113.2075471698117,PALERMO
1409,350000.0,64.0,2.0,5468.75,PALERMO
1410,98000.0,39.0,1.0,2512.820512820513,PALERMO
1411,290000.0,45.0,2.0,6444.444444444444,PALERMO
1413,130000.0,41.0,1.0,3170.731707317073,PALERMO
1415,235000.0,70.0,3.0,3357.142857142857,PALERMO
1418,328000.0,110.0,4.0,2981.818181818182,PALERMO
1423,99000.0,38.0,2.0,2605.263157894737,PALERMO
1424,490000.0,166.0,4.0,2951.807228915662,PALERMO
1425,270000.0,134.0,3.0,2014.9253731343283,PALERMO
1426,192000.0,63.0,2.0,3047.619047619048,PALERMO
1429,279000.0,86.0,3.0,3244.186046511628,PALERMO
1431,139000.0,37.0,2.0,3756.756756756757,PALERMO
1434,200000.0,140.0,5.0,1428.571428571429,PALERMO
1436,220000.0,59.0,3.0,3728.8135593220345,PALERMO
1437,395000.0,158.0,5.0,2500.0,PALERMO
1438,220000.0,102.0,2.0,2156.86274509804,PALERMO
1439,225000.0,83.0,4.0,2710.8433734939763,PALERMO
1441,150000.0,46.0,2.0,3260.8695652173915,PALERMO
1443,267000.0,61.0,2.0,4377.049180327869,PALERMO
1444,245000.0,48.0,2.0,5104.166666666667,PALERMO
1445,267000.0,64.0,2.0,4171.875,PALERMO
1446,125000.0,37.0,2.0,3378.3783783783783,PALERMO
1447,187000.0,55.0,2.0,3400.0,PALERMO
1448,200000.0,67.0,3.0,2985.074626865672,PALERMO
1449,187000.0,55.0,2.0,3400.0,PALERMO
1451,350000.0,90.0,4.0,3888.888888888889,PALERMO
1452,280636.0,79.0,3.0,3552.354430379746,PALERMO
1454,318000.0,78.0,3.0,4076.9230769230767,PALERMO
1455,250000.0,64.0,2.0,3906.25,PALERMO
1457,310000.0,120.0,3.0,2583.333333333333,PALERMO
1458,265000.0,83.0,4.0,3192.7710843373493,PALERMO
1459,268000.0,73.0,3.0,3671.232876712329,PALERMO
1462,288000.0,63.0,3.0,4571.428571428572,PALERMO
1468,139000.0,46.0,1.0,3021.7391304347825,PALERMO
1469,142000.0,50.0,3.0,2840.0,PALERMO
1470,175000.0,50.0,2.0,3500.0,PALERMO
1473,176000.0,69.0,3.0,2550.7246376811595,PALERMO
1474,129000.0,41.0,2.0,3146.3414634146343,PALERMO
1477,198000.0,50.0,2.0,3960.0,PALERMO
1479,198000.0,48.0,2.0,4125.0,PALERMO
1480,185000.0,43.0,2.0,4302.325581395349,PALERMO
1483,420000.0,101.0,4.0,4158.4158415841575,PALERMO
1484,359000.0,99.0,4.0,3626.262626262626,PALERMO
1487,137176.0,38.0,1.0,3609.894736842106,PALERMO
1490,159000.0,44.0,2.0,3613.636363636364,PALERMO
1491,224000.0,104.0,3.0,2153.846153846154,PALERMO
1494,270000.0,119.0,4.0,2268.9075630252105,PALERMO
1495,360000.0,106.0,3.0,3396.22641509434,PALERMO
1496,510000.0,110.0,4.0,4636.363636363636,PALERMO
1498,189000.0,55.0,2.0,3436.3636363636365,PALERMO
1499,263095.46,98.0,2.0,2684.647551020408,PALERMO
1501,235000.0,64.0,2.0,3671.875,PALERMO
1502,189000.0,54.0,2.0,3500.0,PALERMO
1509,145000.0,46.0,2.0,3152.1739130434785,PALERMO
1510,485000.0,87.0,2.0,5574.71264367816,PALERMO
1511,427300.0,131.0,2.0,3261.8320610687024,PALERMO
1513,174900.0,58.0,2.0,3015.5172413793102,PALERMO
1514,99500.0,45.0,1.0,2211.1111111111118,PALERMO
1517,148000.0,55.0,3.0,2690.909090909091,PALERMO
1518,170500.0,39.0,1.0,4371.794871794872,PALERMO
1520,193000.0,47.0,2.0,4106.382978723404,PALERMO
1525,110000.0,44.0,2.0,2500.0,PALERMO
1526,160000.0,43.0,1.0,3720.930232558139,PALERMO
1527,350000.0,80.0,3.0,4375.0,PALERMO
1528,279000.0,96.0,4.0,2906.25,PALERMO
1529,575000.0,117.0,3.0,4914.529914529914,PALERMO
1531,160000.0,49.0,3.0,3265.30612244898,PALERMO
1543,240000.0,60.0,2.0,4000.0,PALERMO
1544,295000.0,100.0,4.0,2950.0,PALERMO
1545,118000.0,46.0,2.0,2565.217391304348,PALERMO
1546,530000.0,146.0,4.0,3630.1369863013697,PALERMO
1547,151500.0,50.0,2.0,3030.0,PALERMO
1548,158000.0,60.0,3.0,2633.333333333333,PALERMO
1554,349500.0,109.0,4.0,3206.422018348624,PALERMO
1555,128000.0,37.0,1.0,3459.45945945946,PALERMO
1558,225000.0,77.0,3.0,2922.0779220779223,PALERMO
1560,485000.0,130.0,4.0,3730.769230769231,PALERMO
1562,330000.0,81.0,4.0,4074.074074074074,PALERMO
1563,185000.0,58.0,3.0,3189.655172413793,PALERMO
1564,143000.0,45.0,1.0,3177.777777777778,PALERMO
1565,158000.0,38.0,1.0,4157.894736842105,PALERMO
1569,293000.0,88.0,4.0,3329.5454545454545,PALERMO
1570,298000.0,90.0,4.0,3311.1111111111118,PALERMO
1571,145000.0,47.0,3.0,3085.106382978724,PALERMO
1572,134000.0,37.0,1.0,3621.6216216216217,PALERMO
1573,199000.0,99.0,2.0,2010.1010101010104,PALERMO
1574,178000.0,44.0,1.0,4045.4545454545455,PALERMO
1577,369000.0,180.0,4.0,2050.0,PALERMO
1578,410000.0,152.0,4.0,2697.368421052632,PALERMO
1580,330000.0,55.0,2.0,6000.0,PALERMO
1581,165000.0,58.0,2.0,2844.827586206897,PALERMO
1582,160000.0,68.0,4.0,2352.9411764705883,PALERMO
1588,280000.0,76.0,2.0,3684.2105263157896,PALERMO
1589,250000.0,45.0,2.0,5555.555555555556,PALERMO
1591,259000.0,85.0,3.0,3047.058823529412,PALERMO
1592,153000.0,42.0,1.0,3642.857142857143,PALERMO
1593,350000.0,145.0,4.0,2413.7931034482763,PALERMO
1594,415000.0,102.0,3.0,4068.627450980392,PALERMO
1595,276000.0,98.0,4.0,2816.326530612245,PALERMO
1597,178000.0,56.0,3.0,3178.5714285714284,PALERMO
1598,267000.0,91.0,4.0,2934.065934065934,PALERMO
1599,350000.0,115.0,5.0,3043.478260869565,PALERMO
1605,308000.0,79.0,3.0,3898.73417721519,PALERMO
1606,250000.0,87.0,4.0,2873.563218390805,PALERMO
1607,295000.0,90.0,4.0,3277.777777777778,PALERMO
1608,225000.0,90.0,2.0,2500.0,PALERMO
1609,465000.0,160.0,5.0,2906.25,PALERMO
1610,277500.0,89.0,3.0,3117.9775280898875,PALERMO
